,meandepth,KB,F,ROH residuals,Inbreeding residuals,breed,purebred,Inbreeding ranking,ROH ranking,average ranking
35,0.1908682051,1955120,0.1862,114415.0757,0.1759791009,DACHSHUND,y,86,79,82.5
32,0.2323381282,1742380,0.0005366,149106.0294,0.1675814271,ROTTWEILER,y,85,85,85
28,0.1888228462,1977850,0.2298,126011.1198,0.2101421322,AIREDALE TERRIER,y,89,81,85
119,0.3727962821,1083650,-0.3806,191312.6609,0.1634609113,Rhodesian Ridgeback,y,84,87,85.5
97,0.2327453333,1799920,0.0373,209068.3685,0.2058253034,Cavalier King Charles Spaniel,y,88,88,88
124,0.3400056923,1260700,-0.2721,222886.4883,0.1867877612,Australian Shepherd,y,87,89,88
95,0.1741552564,2061910,0.3655,140027.253,0.273002586,Irish Wolfhound,y,93,83,88
5,0.6146093846,842664,-0.7791,568887.473,0.1498306251,PIT BALL(AMERICAN STRATFORDSHIRE TERRIER),y,83,96,89.5
27,0.2810882564,1564470,-0.0761,236720.8872,0.2332275339,BLOODHOUND,y,90,90,90
106,0.2621162564,1708640,-0.01134,289352.0951,0.2555712849,St Bernard,y,91,92,91.5
96,0.2301707179,1878060,0.1133,271945.1937,0.2718570498,Irish Wolfhound,y,92,91,91.5
92,0.3130490769,1563160,0.006494,391736.7144,0.3917963105,golden retriever/chesapeake bay retriver,n,94,94,94
17,0.2277878205,1947790,0.2506,327407.3293,0.3989922099,WEST HIGHLAND WHITE TERRIER,y,95,93,94
18,0.3474204872,1543060,-0.01295,541563.2302,0.4655585765,MORKIEPOO (MALTESE+YORKEE+POODLE),n,96,95,95.5
